02031 5 x0 x1 x0 x1i x0i 
02033 5 x0 x1 x0 x1i x1i 
02120 5 x0 x1 x0i x1 x0 
02121 5 x0 x1 x0i x1 x0i 
02122 5 x0 x1 x0i x1 x1 
02130 5 x0 x1 x0i x1i x0 
02131 5 x0 x1 x0i x1i x0i 
02133 5 x0 x1 x0i x1i x1i 
02200 5 x0 x1 x1 x0 x0 
02202 5 x0 x1 x1 x0 x1 
02203 5 x0 x1 x1 x0 x1i 
02211 5 x0 x1 x1 x0i x0i 
02212 5 x0 x1 x1 x0i x1 
02213 5 x0 x1 x1 x0i x1i 
02220 5 x0 x1 x1 x1 x0 
02221 5 x0 x1 x1 x1 x0i 
02222 5 x0 x1 x1 x1 x1 
03000 5 x0 x1i x0 x0 x0 
03002 5 x0 x1i x0 x0 x1 
03003 5 x0 x1i x0 x0 x1i 
03020 5 x0 x1i x0 x1 x0 
03021 5 x0 x1i x0 x1 x0i 
03022 5 x0 x1i x0 x1 x1 
03030 5 x0 x1i x0 x1i x0 
03031 5 x0 x1i x0 x1i x0i 
03033 5 x0 x1i x0 x1i x1i 
03111 5 x0 x1i x0i x0i x0i 
03112 5 x0 x1i x0i x0i x1 
03113 5 x0 x1i x0i x0i x1i 
03120 5 x0 x1i x0i x1 x0 
03121 5 x0 x1i x0i x1 x0i 
03122 5 x0 x1i x0i x1 x1 
03130 5 x0 x1i x0i x1i x0 
03131 5 x0 x1i x0i x1i x0i 
03133 5 x0 x1i x0i x1i x1i 
03300 5 x0 x1i x1i x0 x0 
03302 5 x0 x1i x1i x0 x1 
03303 5 x0 x1i x1i x0 x1i 
03311 5 x0 x1i x1i x0i x0i 
03312 5 x0 x1i x1i x0i x1 
03313 5 x0 x1i x1i x0i x1i 
03330 5 x0 x1i x1i x1i x0 
03331 5 x0 x1i x1i x1i x0i 
03333 5 x0 x1i x1i x1i x1i 
11111 5 x0i x0i x0i x0i x0i 
11112 5 x0i x0i x0i x0i x1 
11113 5 x0i x0i x0i x0i x1i 
11120 5 x0i x0i x0i x1 x0 
11121 5 x0i x0i x0i x1 x0i 
11122 5 x0i x0i x0i x1 x1 
11130 5 x0i x0i x0i x1i x0 
11131 5 x0i x0i x0i x1i x0i 
11133 5 x0i x0i x0i x1i x1i 
11200 5 x0i x0i x1 x0 x0 
11202 5 x0i x0i x1 x0 x1 
11203 5 x0i x0i x1 x0 x1i 
11211 5 x0i x0i x1 x0i x0i 
11212 5 x0i x0i x1 x0i x1 
11213 5 x0i x0i x1 x0i x1i 
11220 5 x0i x0i x1 x1 x0 
11221 5 x0i x0i x1 x1 x0i 
11222 5 x0i x0i x1 x1 x1 
11300 5 x0i x0i x1i x0 x0 
11302 5 x0i x0i x1i x0 x1 
11303 5 x0i x0i x1i x0 x1i 
11311 5 x0i x0i x1i x0i x0i 
11312 5 x0i x0i x1i x0i x1 
11313 5 x0i x0i x1i x0i x1i 
11330 5 x0i x0i x1i x1i x0 
11331 5 x0i x0i x1i x1i x0i 
11333 5 x0i x0i x1i x1i x1i 
12000 5 x0i x1 x0 x0 x0 
12002 5 x0i x1 x0 x0 x1 
12020 5 x0i x1 x0 x1 x0 
12021 5 x0i x1 x0 x1 x0i 
12022 5 x0i x1 x0 x1 x1 
12030 5 x0i x1 x0 x1i x0 
12031 5 x0i x1 x0 x1i x0i 
12033 5 x0i x1 x0 x1i x1i 
12111 5 x0i x1 x0i x0i x0i 
12112 5 x0i x1 x0i x0i x1 
12113 5 x0i x1 x0i x0i x1i 
12120 5 x0i x1 x0i x1 x0 
12121 5 x0i x1 x0i x1 x0i 
12122 5 x0i x1 x0i x1 x1 
12130 5 x0i x1 x0i x1i x0 
12131 5 x0i x1 x0i x1i x0i 
12133 5 x0i x1 x0i x1i x1i 
12200 5 x0i x1 x1 x0 x0 
12202 5 x0i x1 x1 x0 x1 
12203 5 x0i x1 x1 x0 x1i 
12211 5 x0i x1 x1 x0i x0i 
12212 5 x0i x1 x1 x0i x1 
12213 5 x0i x1 x1 x0i x1i 
12220 5 x0i x1 x1 x1 x0 
12221 5 x0i x1 x1 x1 x0i 
12222 5 x0i x1 x1 x1 x1 
13000 5 x0i x1i x0 x0 x0 
13002 5 x0i x1i x0 x0 x1 
13020 5 x0i x1i x0 x1 x0 
13021 5 x0i x1i x0 x1 x0i 
13022 5 x0i x1i x0 x1 x1 
13030 5 x0i x1i x0 x1i x0 
13031 5 x0i x1i x0 x1i x0i 
13033 5 x0i x1i x0 x1i x1i 
13111 5 x0i x1i x0i x0i x0i 
13112 5 x0i x1i x0i x0i x1 
13113 5 x0i x1i x0i x0i x1i 
13120 5 x0i x1i x0i x1 x0 
13121 5 x0i x1i x0i x1 x0i 
13122 5 x0i x1i x0i x1 x1 
13130 5 x0i x1i x0i x1i x0 
13131 5 x0i x1i x0i x1i x0i 
13133 5 x0i x1i x0i x1i x1i 
13300 5 x0i x1i x1i x0 x0 
13302 5 x0i x1i x1i x0 x1 
13303 5 x0i x1i x1i x0 x1i 
13311 5 x0i x1i x1i x0i x0i 
13312 5 x0i x1i x1i x0i x1 
13313 5 x0i x1i x1i x0i x1i 
13330 5 x0i x1i x1i x1i x0 
13331 5 x0i x1i x1i x1i x0i 
13333 5 x0i x1i x1i x1i x1i 
20000 5 x1 x0 x0 x0 x0 
20002 5 x1 x0 x0 x0 x1 
20003 5 x1 x0 x0 x0 x1i 
20020 5 x1 x0 x0 x1 x0 
20021 5 x1 x0 x0 x1 x0i 
20022 5 x1 x0 x0 x1 x1 
20030 5 x1 x0 x0 x1i x0 
20033 5 x1 x0 x0 x1i x1i 
20200 5 x1 x0 x1 x0 x0 
20202 5 x1 x0 x1 x0 x1 
20203 5 x1 x0 x1 x0 x1i 
20212 5 x1 x0 x1 x0i x1 
20213 5 x1 x0 x1 x0i x1i 
20220 5 x1 x0 x1 x1 x0 
20221 5 x1 x0 x1 x1 x0i 
20222 5 x1 x0 x1 x1 x1 
20300 5 x1 x0 x1i x0 x0 
20302 5 x1 x0 x1i x0 x1 
20303 5 x1 x0 x1i x0 x1i 
20311 5 x1 x0 x1i x0i x0i 
20312 5 x1 x0 x1i x0i x1 
20313 5 x1 x0 x1i x0i x1i 
20330 5 x1 x0 x1i x1i x0 
20331 5 x1 x0 x1i x1i x0i 
20333 5 x1 x0 x1i x1i x1i 
21111 5 x1 x0i x0i x0i x0i 
21112 5 x1 x0i x0i x0i x1 
21113 5 x1 x0i x0i x0i x1i 
21121 5 x1 x0i x0i x1 x0i 
21122 5 x1 x0i x0i x1 x1 
21131 5 x1 x0i x0i x1i x0i 
21133 5 x1 x0i x0i x1i x1i 
21200 5 x1 x0i x1 x0 x0 
21202 5 x1 x0i x1 x0 x1 
21203 5 x1 x0i x1 x0 x1i 
21211 5 x1 x0i x1 x0i x0i 
21212 5 x1 x0i x1 x0i x1 
21213 5 x1 x0i x1 x0i x1i 
21220 5 x1 x0i x1 x1 x0 
21221 5 x1 x0i x1 x1 x0i 
21222 5 x1 x0i x1 x1 x1 
21300 5 x1 x0i x1i x0 x0 
21302 5 x1 x0i x1i x0 x1 
21303 5 x1 x0i x1i x0 x1i 
21311 5 x1 x0i x1i x0i x0i 
21312 5 x1 x0i x1i x0i x1 
21313 5 x1 x0i x1i x0i x1i 
21330 5 x1 x0i x1i x1i x0 
21331 5 x1 x0i x1i x1i x0i 
21333 5 x1 x0i x1i x1i x1i 
22000 5 x1 x1 x0 x0 x0 
22002 5 x1 x1 x0 x0 x1 
22003 5 x1 x1 x0 x0 x1i 
22020 5 x1 x1 x0 x1 x0 
22021 5 x1 x1 x0 x1 x0i 
22022 5 x1 x1 x0 x1 x1 
22030 5 x1 x1 x0 x1i x0 
22031 5 x1 x1 x0 x1i x0i 
22033 5 x1 x1 x0 x1i x1i 
22111 5 x1 x1 x0i x0i x0i 
22112 5 x1 x1 x0i x0i x1 
22113 5 x1 x1 x0i x0i x1i 
22120 5 x1 x1 x0i x1 x0 
22121 5 x1 x1 x0i x1 x0i 
22122 5 x1 x1 x0i x1 x1 
22130 5 x1 x1 x0i x1i x0 
22131 5 x1 x1 x0i x1i x0i 
22133 5 x1 x1 x0i x1i x1i 
22200 5 x1 x1 x1 x0 x0 
22202 5 x1 x1 x1 x0 x1 
22203 5 x1 x1 x1 x0 x1i 
22211 5 x1 x1 x1 x0i x0i 
22212 5 x1 x1 x1 x0i x1 
22213 5 x1 x1 x1 x0i x1i 
22220 5 x1 x1 x1 x1 x0 
22221 5 x1 x1 x1 x1 x0i 
22222 5 x1 x1 x1 x1 x1 
30000 5 x1i x0 x0 x0 x0 
30002 5 x1i x0 x0 x0 x1 
30003 5 x1i x0 x0 x0 x1i 
